origin,ground_truth,latency,hops
RIPE,DE,32.5685,14.75
RIPE,DE,29.546,18.75
RIPE,DE,38.66975,20.0
RIPE,DE,41.2355,1.25
RIPE,DE,33.50725,11.0
RIPE,DE,33.103,15.0
RIPE,DE,36.856,17.0
RIPE,DE,29.68,15.25
RIPE,DE,37.66025,16.75
RIPE,DE,38.825,16.0
RIPE,DE,34.35625,20.0
RIPE,DE,33.3825,20.75
RIPE,DE,39.653,13.25
RIPE,DE,40.01975,16.0
RIPE,DE,33.0135,15.25
RIPE,DE,39.2175,18.75
RIPE,DE,199.77525,20.0
RIPE,DE,33.54425,18.25
RIPE,DE,28.3655,14.5
RIPE,DE,45.627,14.0
RIPE,DE,31.5495,17.0
RIPE,DE,36.97375,15.5
RIPE,DE,44.00675,18.0
RIPE,DE,33.492,12.5
RIPE,DE,31.2975,18.0
RIPE,DE,44.14625,15.0
RIPE,DE,66.2975,10.75
RIPE,DE,32.848,15.5
RIPE,DE,31.2935,17.75
RIPE,DE,38.63725,12.25
RIPE,DE,45.2805,10.25
RIPE,DE,31.4245,8.0
RIPE,DE,33.79175,20.5
RIPE,DE,46.527,20.0
RIPE,DE,42.62775,20.5
RIPE,DE,42.3085,12.0
RIPE,DE,30.62575,20.5
RIPE,DE,48.5605,18.25
RIPE,DE,46.50225,14.25
RIPE,DE,33.14725,2.0
RIPE,DE,45.4325,15.0
RIPE,DE,47.68075,15.25
RIPE,DE,34.6375,12.25
RIPE,DE,46.23125,18.25
RIPE,DE,29.94925,11.25
RIPE,DE,32.37975,14.0
RIPE,DE,44.64025,15.25
RIPE,DE,45.79375,10.25
RIPE,DE,34.782,14.25
RIPE,DE,28.12125,14.75
RIPE,DE,37.641,12.75
RIPE,DE,30.9035,18.0
RIPE,DE,35.567,11.0
RIPE,DE,29.05025,14.0
RIPE,DE,30.67125,16.75
RIPE,DE,30.01425,18.25
RIPE,DE,28.404,18.0
RIPE,DE,26.19525,17.5
RIPE,DE,31.17025,18.0
RIPE,DE,36.044,19.0
RIPE,DE,37.677,13.5
RIPE,DE,24.39975,21.0
RIPE,DE,31.95525,18.25
RIPE,DE,41.2675,19.75
RIPE,DE,28.54325,20.0
RIPE,DE,35.92175,15.75
RIPE,DE,41.8895,19.25
RIPE,DE,40.57225,19.0
RIPE,DE,29.2645,14.0
RIPE,DE,38.5945,17.0
RIPE,DE,35.078,18.25
RIPE,DE,28.0295,12.5
RIPE,DE,30.10425,17.5
RIPE,DE,31.8485,16.0
RIPE,DE,41.887,12.0
RIPE,DE,30.70375,20.75
RIPE,DE,66.821,14.5
RIPE,DE,44.4825,13.25
RIPE,DE,31.25575,14.25
RIPE,DE,31.09625,21.0
RIPE,DE,26.49525,18.25
RIPE,DE,40.894,18.5
RIPE,DE,45.111,18.0
RIPE,DE,32.42475,13.25
RIPE,DE,26.75625,18.25
RIPE,DE,31.812,18.5
RIPE,DE,30.40925,10.25
RIPE,DE,38.9045,17.75
RIPE,DE,38.979,20.25
RIPE,DE,45.483,13.25
RIPE,DE,36.4485,16.0
RIPE,DE,44.246,19.5
RIPE,DE,29.625,20.0
RIPE,DE,32.56875,12.0
RIPE,DE,51.09125,20.0
RIPE,DE,40.291,17.75
RIPE,DE,35.53375,18.25
RIPE,DE,44.11175,18.0
RIPE,DE,34.7015,19.25
RIPE,DE,32.11325,18.5
RIPE,DE,28.79225,20.0
RIPE,DE,32.93375,18.0
RIPE,DE,33.2205,12.75
RIPE,DE,30.453,17.25
RIPE,DE,49.959,16.0
RIPE,DE,34.082,13.0
RIPE,DE,31.3535,16.25
RIPE,DE,37.996,14.0
RIPE,DE,44.44875,15.0
RIPE,DE,46.244,18.25
RIPE,DE,34.2865,20.5
RIPE,DE,29.46275,17.0
RIPE,DE,47.94775,14.25
RIPE,DE,40.74675,17.25
RIPE,DE,32.4425,15.0
RIPE,DE,33.4435,16.75
RIPE,DE,34.2645,16.75
RIPE,DE,30.81975,17.25
RIPE,DJ,112.71925,8.25
RIPE,DJ,101.3935,8.5
RIPE,DJ,103.0765,8.0
RIPE,DJ,103.55125,8.0
RIPE,DK,38.8805,19.25
RIPE,DK,34.9645,18.5
RIPE,DK,35.91475,19.0
RIPE,DK,41.2275,18.0
RIPE,DK,36.30525,18.25
RIPE,DK,46.2645,19.0
RIPE,DK,42.48975,18.25
RIPE,DK,32.911,18.5
RIPE,DK,50.279,18.25
RIPE,DK,41.10975,18.25
RIPE,DK,38.99025,18.75
RIPE,DK,36.0965,19.5
RIPE,DK,39.34925,19.75
RIPE,DO,137.42575,11.5
RIPE,DO,140.45975,11.0
RIPE,DO,137.4555,12.25
RIPE,DO,139.2745,12.25
RIPE,DO,137.12925,12.0
RIPE,DO,138.76975,11.5
RIPE,DO,138.46925,12.5
RIPE,DO,139.27575,11.25
RIPE,EC,185.543,1.5
RIPE,EC,205.599,9.25
RIPE,EC,190.2965,15.5
